	Study	Subgroup within study	Comparison	Outcome (specific)	Time point	Correlation	Std Err	Fisher's Z	Std Err	Outcome Group	outcome type	study design	media type	Ferguson	Citation
129	"Gunter, W. D., & Daly, K. (2012)."	Females	AS vs Neutral/Control	violent deviant behavior	Blank	0.220800499	1.86E-02	0.224497479	0.01956432	behavior	antisocial/negative	correlational	antisocial	3	"Gunter, W. D., & Daly, K. (2012). Causal or spurious: Using propensity score matching to detangle the relationship between violent video games and violent behavior. Computers in Human Behavior, 28(4), 1348-1355. doi: http://dx.doi.org/10.1016/j.chb.2012.02.020"
130	"Gunter, W. D., & Daly, K. (2012)."	Males	AS vs Neutral/Control	non-violent deviant behavior	Blank	0.211597818	1.96E-02	0.214843468	2.06E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gunter, W. D., & Daly, K. (2012). Causal or spurious: Using propensity score matching to detangle the relationship between violent video games and violent behavior. Computers in Human Behavior, 28(4), 1348-1355. doi: http://dx.doi.org/10.1016/j.chb.2012.02.020"
131	"Gunter, W. D., & Daly, K. (2012)."	Males	AS vs Neutral/Control	violent deviant behavior	Blank	0.192526869	2.00E-02	0.194959987	2.08E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gunter, W. D., & Daly, K. (2012). Causal or spurious: Using propensity score matching to detangle the relationship between violent video games and violent behavior. Computers in Human Behavior, 28(4), 1348-1355. doi: http://dx.doi.org/10.1016/j.chb.2012.02.020"
132	"Greitemeyer, T., Traut-Mattausch, E., & Osswald, S. (2012)."	Blank	AS vs Neutral/Control	cooperative behavior	Blank	0.405845693	2.00E-01	0.430627628	2.39E-01	behavior	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T., Traut-Mattausch, E., & Osswald, S. (2012). How to ameliorate negative effects of violent video games on cooperation: Play it cooperatively in a team. Computers in Human Behavior, 28(4), 1465-1470. doi: http://dx.doi.org/10.1016/j.chb.2012.03.009"
133	"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). S2"	Blank	AS vs Neutral/Control	Empathy	Blank	4.99E-02	1.60E-01	5.00E-02	1.60E-01	affect	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). Playing prosocial video games increases empathy and decreases schadenfreude. Emotion, 10(6), 796-802.                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
134	"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). S2"	Blank	AS vs Neutral/Control	Schadenfreude	Blank	5.49E-02	1.60E-01	5.50E-02	1.60E-01	affect	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). Playing prosocial video games increases empathy and decreases schadenfreude. Emotion, 10(6), 796-802.                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
135	"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). S1"	Blank	AS vs Neutral/Control	Aggressive behavior (volume)	Blank	0.321831476	1.30E-01	0.333688859	1.45E-01	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). Acting prosocially reduces retaliation: Effects of prosocial video games on aggressive behavior. European Journal Of Social Psychology, 42(2), 235-242.                                                                                                                                                                                                                                                                                                                                                                                              "
136	"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). S1"	Blank	AS vs Neutral/Control	perceived Arousal	Blank	-6.48E-02	1.48E-01	-6.49E-02	1.49E-01	arousal	Blank	experimental	antisocial	3	"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). Acting prosocially reduces retaliation: Effects of prosocial video games on aggressive behavior. European Journal Of Social Psychology, 42(2), 235-242.                                                                                                                                                                                                                                                                                                                                                                                              "
137	"Greitemeyer, T., & Osswald, S. (2010). S1"	Blank	AS vs Neutral/Control	picking up pencils	Blank	7.21E-02	1.99E-01	7.23E-02	2.00E-01	behavior	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T., & Osswald, S. (2010). Effects of prosocial video games on prosocial behavior. Journal Of Personality And Social Psychology, 98(2), 211-221.                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
138	"Greitemeyer, T., & McLatchie, N. (2011). S2"	Blank	AS vs Neutral/Control	other player´s aggressive behaviour	Blank	0.732019683	6.28E-02	9.33E-01	1.35E-01	behavior	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "
139	"Greitemeyer, T., & McLatchie, N. (2011). S2"	Blank	AS vs Neutral/Control	other player´s secondary emotion (dehuman)	Blank	0.636943712	0.083897324	0.753014153	1.41E-01	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "
140	"Greitemeyer, T., & McLatchie, N. (2011). S1"	ingroup	AS vs Neutral/Control	Dehumanization	Blank	-1.22E-02	1.58E-01	-1.22E-02	1.58E-01	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "
141	"Greitemeyer, T., & McLatchie, N. (2011). S1"	outgroup	AS vs Neutral/Control	Dehumanization	Blank	0.45471427	1.19E-01	4.91E-01	1.50E-01	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "
142	"Greitemeyer, T. (in press). PSPB S2"	Blank	AS vs Neutral/Control	Taylor	Blank	0.222968416	9.80E-02	2.27E-01	1.03E-01	behavior	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T. (in press)."
143	"Greitemeyer, T. (in press). PSPB S1"	Blank	Blank	Buss & Perry	Blank	0.1	6.56E-02	0.100335348	6.62E-02	behavior	antisocial/negative	correlational	antisocial	3	"Greitemeyer, T. (in press)."
144	"Greitemeyer, T. (in press). JESP"	Blank	AS vs Neutral/Control	chili	Blank	0.359136095	1.28E-01	0.375893717	1.47E-01	behavior	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T. (in press). Intense acts of violence during video game play make daily life aggression appear innocuous: A new mechanism why violent video games increase aggression. Journal of Experimental Social Psychology"
145	"Greitemeyer, T (in press)"	Blank	AS vs Neutral/Control	empathy	Blank	0.203072949	1.11E-01	0.205935604	1.16E-01	affect	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T. (in press). Playing video games cooperatively increases empathic concern. Social Psychology."
146	"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013) S2"	Blank	AS vs Neutral/Control	prosocial words	Blank	-0.21019671	1.02E-01	-0.21337714	0.106663044	cognition	prosocial/positive	experimental	antisocial	3	"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013): Virtually Justifiable Homicide: The Effects of Prosocial Contexts on the Link Between Violent Video Games, Aggression, and Prosocial and Hostile Cognition, Aggressive Behaviour, 9999, 1-9."
147	"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013) S1"	Blank	AS vs Neutral/Control	aggressive	Blank	0.406329391	1.09E-01	0.431206843	1.30E-01	behavior	antisocial/negative	experimental	antisocial	3	"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013): Virtually Justifiable Homicide: The Effects of Prosocial Contexts on the Link Between Violent Video Games, Aggression, and Prosocial and Hostile Cognition, Aggressive Behaviour, 9999, 1-9."
148	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	overall hostile attribution 1/1	T1	0.16	5.31E-02	1.61E-01	5.45E-02	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
149	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	overall hostile attribution 1/2	Blank	0.22	5.18E-02	0.223656109	5.45E-02	cognition	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
150	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	overall hostile attribution 2/2	T2	0.21	5.21E-02	0.213171347	5.45E-02	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
151	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical aggression 1/1	T1	0.4	4.58E-02	0.42364893	5.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
152	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical aggression 1/2	Blank	0.44	4.39E-02	0.472230804	5.45E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
153	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical aggression 2/2	T2	0.47	4.24E-02	0.510070337	5.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
154	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical hostile attribution 1/1	T1	0.16	5.31E-02	0.161386696	5.45E-02	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
155	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical hostile attribution 1/2	Blank	0.2	5.23E-02	0.202732554	5.45E-02	cognition	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
156	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical hostile attribution 2/2	T2	0.2	5.23E-02	0.202732554	5.45E-02	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
157	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	prosocial behaviour 1/1	T1	0.36	4.74E-02	0.376885901	5.45E-02	behavior	prosocial/positive	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
158	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	prosocial behaviour 1/2	Blank	0.35	4.78E-02	3.65E-01	5.45E-02	behavior	prosocial/positive	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
159	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	prosocial behaviour 2/2	T2	0.31	0.049238571	0.320545409	5.45E-02	behavior	prosocial/positive	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
160	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	relational aggression 1/1	T1	7.00E-02	5.42E-02	7.01E-02	5.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
161	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	relational aggression 1/2	Blank	2.00E-02	5.45E-02	2.00E-02	5.45E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
162	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	relational aggression 2/2	T2	0.02	5.45E-02	2.00E-02	5.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
163	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	relational hostile attribution 1/1	T1	0.12	5.37E-02	0.120581028	5.45E-02	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
164	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	relational hostile attribution 1/2	Blank	0.2	0.052294532	0.202732554	5.45E-02	cognition	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
165	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	relational hostile attribution 2/2	T2	0.18	5.27E-02	0.181982689	5.45E-02	cognition	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
166	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	verbal aggression 1/1	T1	0.25	5.11E-02	0.255412812	5.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
167	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	verbal aggression 1/2	Blank	0.31	4.92E-02	0.320545409	5.45E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
168	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	verbal aggression 2/2	T2	0.29	4.99E-02	0.298566264	5.45E-02	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "
169	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S3"	Blank	AS vs Neutral/Control	helpful behaviour	Blank	0.119142955	7.74E-02	0.119711552	7.85E-02	behavior	prosocial/positive	experimental	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
170	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S3"	Blank	AS vs Neutral/Control	hurtful behaviour	Blank	0.200819903	7.49E-02	0.203586765	7.80E-02	behavior	antisocial/negative	experimental	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
171	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	approval of aggression/ antisocial game	Blank	0.26	3.47E-02	0.266108407	3.72E-02	cognition	antisocial/negative	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
172	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	coopertaion and sharing/ antisocial game	Blank	0.022	3.71E-02	2.20E-02	3.72E-02	behavior	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
173	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	emotional awareness/ antisocial game	Blank	0.036	3.71E-02	3.60E-02	3.72E-02	cognition	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
174	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	empathy/ antisocial game	Blank	4.13E-01	3.08E-02	4.39E-01	3.72E-02	affect	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
175	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	helping behaviour/ antisocial game	Blank	4.30E-01	3.03E-02	4.60E-01	3.72E-02	behavior	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
176	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	hostile attribution bias/ antisocial game	Blank	0.34	3.29E-02	0.354092529	3.72E-02	cognition	antisocial/negative	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "
177	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	AS vs Neutral/Control	moral disengagement	Blank	0.147886113	0.050100049	0.14897859	0.051220252	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "
178	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	Blank	advantageous comparison	Blank	0.13	6.87E-02	0.13073985	6.98E-02	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "
179	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	Blank	dehumanization	Blank	0.03	6.98E-02	3.00E-02	6.98E-02	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "
180	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	Blank	diffusion of responsibilty	Blank	0.21	0.066762952	0.213171347	6.98E-02	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "
181	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	Blank	distorting consequences	Blank	0.2	6.70E-02	0.202732554	6.98E-02	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "
182	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	Blank	moral justification	Blank	0.16	6.81E-02	0.161386696	6.98E-02	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "
183	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	female	Blank	low empathetic concern	Blank	0.16	4.18E-02	0.161386696	4.29E-02	affect	antisocial/negative	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
184	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	female	Blank	prosocial behaviour toward family	Blank	0.15	4.19E-02	0.151140436	4.29E-02	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
185	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	female	Blank	prosocial behaviour toward friends	Blank	0	4.29E-02	0	4.29E-02	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
186	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	female	Blank	prosocial behaviour toward strangers	Blank	1.40E-01	4.20E-02	1.41E-01	4.29E-02	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
187	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	male	Blank	low empathetic concern	Blank	0.03	6.45E-02	3.00E-02	6.45E-02	affect	antisocial/negative	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
188	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	male	Blank	prosocial behaviour toward family	Blank	4.00E-02	6.44E-02	4.00E-02	6.45E-02	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
