Study	Subgroup.within.study	Comparison	Outcome..specific.	Time.point	Correlation	Std.Err.r	Fisher.s.Z	Std.Err	Outcome.Group	outcome.type	study.design	media.type	Ferguson	Citation	ID	StudyShort	Sample.size
"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	prosocial behaviour 1/1/prosocial behaviour 2/2	T1/T2	0.363980862	0.0474	0.348715655	0.0545	behavior	prosocial/positive	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "	157/159	"Gentile,_A. (2011)."	339.6719973
"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical aggression 1/1/physical aggression 2/2/relational aggression 1/1/relational aggression 2/2/verbal aggression 1/1/verbal aggression 2/2	T1/T2	0.269292508	0.0458	0.262966391	0.0545	behavior	antisocial/negative	correlational	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "	151/153/160/162/166/168	"Gentile,_A. (2011)."	339.6719973
"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	physical aggression 1/2/relational aggression 1/2/verbal aggression 1/2	Blank	0.277862263	0.0439	0.270925404	0.0545	behavior	antisocial/negative	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "	152/161/167	"Gentile,_A. (2011)."	339.6719973
"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	approval of aggression/ antisocial game/hostile attribution bias/ antisocial game	Blank	0.320656563	0.0347	0.310100468	0.0372	cognition	antisocial/negative	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "	171/176	"Gentile,_(2009). S1"	725.6268933
"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	coopertaion and sharing/ antisocial game/helping behaviour/ antisocial game	Blank	0.245835504	0.0371	0.241	0.0372	behavior	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "	172/175	"Gentile,_(2009). S1"	725.6268933
"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012)."	Blank	AS vs Neutral/Control/Blank	moral disengagement/advantageous comparison/dehumanization/diffusion of responsibilty/distorting consequences/moral justification	Blank	0.149070479	0.050100049	0.147975992	0.051220252	cognition	antisocial/negative	experimental	antisocial	3	"Gabbiadini, A., Andrighetto, L., & Volpato, C. (2012). Brief report: Does exposure to violent video games increase moral disengagement among adolescents?. Journal Of Adolescence, 35(5), 1403-1406.                                                                                                                                                                                                                                                                                                                                                                                                                    "	177/178/179/180/181/182	Gabbiadi_C. (2012).	384.1681272
"Ferguson, C. J., San Miguel, C., Garza, A., & Jerabeck, J. M. (2012)."	Blank	Blank	reduced dating violence/violent: dating violence                                                                                                                                                                                	Blank	-0.242584825	0.0748	-0.237935734	0.0786	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J., San Miguel, C., Garza, A., & Jerabeck, J. M. (2012). A longitudinal test of video game violence influences on dating and aggression: A 3-year longitudinal study of adolescents. Journal Of Psychiatric Research, 46(2), 141-146.                                                                                                                                                                                                                                                                                                                                                                      "	196/197	Ferguson_M. (2012).	164.8657291
"Arriaga, P., Monteiro, M. B., & Esteves, F. (2011)."	Blank	AS vs Neutral/Control	CRTT/CRTT (Exposed to VG)	Blank	0.203357632	0.136	0.2006	0.137	behavior	antisocial/negative	experimental	antisocial	3	"Arriaga, P., Monteiro, M. B., & Esteves, F. (2011). Effects of Playing Violent Computer Games on Emotional Desensitization and Aggressive Behavior1. Journal of Applied Social Psychology, 41(8), 1900-1925. doi: 10.1111/j.1559-1816.2011.00791.x"	255/256	"Arriaga,_F. (2011)."	56.2793436
"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	Blank	hostility post/hostility pre	Blank	0.158056509	0.09559	0.156753348	0.1	affect	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "	202/203	Ferguson_M. (2010).	103
"Ferguson, C. J., & Garza, A. (2011)."	Blank	Blank	civic engagement/prosocial online behaviour	Blank	0.055155863	0.0339	0.0551	0.0339	behavior	prosocial/positive	correlational	antisocial	1	"Ferguson, C. J., & Garza, A. (2011). Call of (civic) duty: Action games and civic behavior in a large sample of youth. Computers In Human Behavior, 27(2), 770-775.                                                                                                                                                                                                                                                                                                                                                                                                                                                     "	206/207	Ferguson_A. (2011).	873.1629815
"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	aggression (child report) T1/aggression (child report) T2/aggression (parent report) T1/aggression (parent report) T2	T1/T2	0.070666201	0.0427	0.070548807	0.043314808	affect	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "	208/209/210/211	Ferguson_. (2011a).	536.0000045
"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	bullying other children T1/bullying other children T2/NLE non-violent crimes T1/NLE non-violent crimes T2/NLE violent crimes T1/NLE violent crimes T2/rule breaking (child report) T1/rule breaking (child report) T2/rule breaking (parent report) T1/rule breaking (parent report) T2	T1/T2	0.092394828	0.0419	0.092132803	0.043314808	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "	212/213/214/215/216/217/218/219/220/221	Ferguson_. (2011a).	536.0000045
"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013)"	Blank	Blank	total delinquency: violent video game attitude                                  /total delinquency: violent video game play                                      /total violence: violent video game attitude                                     /total violence: violent video game play                                         	Blank	0.164591914	0.0646	0.163121553	0.0668	behavior	antisocial/negative	correlational	antisocial	2	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013): Violent Video Games, Delinquency, and Youth Violence: New Evidence. Youth Violence and Juvenile Justive, 11(2), 132-142."	233/234/235/236	DeLisi M_.J. (2013)	227.1026928
"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). "	Blank	AS vs Neutral/Control	aggr self-concept/aggr self-concept (abstract as control)/IAT (lower=more aggr)	Blank	0.148910981	0.133	0.147819982	0.146	cognition	antisocial/negative	experimental	antisocial	3	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). The influence of violent and nonviolent computer games on implicit measures of aggressiveness. Aggressive Behavior, 36(1), 1-13.                                                                                                                                                                                                                                                                                                                                                                                                                                      "	247/248/249	"Bluemke,_. (2010). "	49.91311691
"Ballard, M., Visser, K., & Jocoy, K. (2012)."	Blank	Blank	diastolic blood pressure/heart rate/systolic blood pressure	Blank	0.081320504	0.0749	0.081141718	0.076	arousal	Blank	experimental	antisocial	3	"Ballard, M., Visser, K., & Jocoy, K. (2012). Social Context and Video Game Play: Impact on Cardiovascular and Affective Responses. Mass Communication and Society, 15(6), 875-898. doi: 10.1080/15205436.2011.632106"	252/253/254	"Ballard,_K. (2012)."	176.1301939
"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	AS vs Neutral/Control	Aggressive behaviour c1/Aggressive behaviour c2/Aggressive behaviour c3/Aggressive behaviour c4	Blank	-0.042324844	0.139811738	-0.042299589	0.139984738	behavior	antisocial/negative	experimental	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "	198/199/200/201	Ferguson_M. (2010).	54.03153389
"Arriaga, P., Monteiro, M. B., & Esteves, F. (2011)."	Blank	AS vs Neutral/Control	self-report arousal/Skin conductance response (physiological arousal)	Blank	0.379151926	0.125	0.361970737	0.137	arousal	Blank	experimental	antisocial	3	"Arriaga, P., Monteiro, M. B., & Esteves, F. (2011). Effects of Playing Violent Computer Games on Emotional Desensitization and Aggressive Behavior1. Journal of Applied Social Psychology, 41(8), 1900-1925. doi: 10.1111/j.1559-1816.2011.00791.x"	258/259	"Arriaga,_F. (2011)."	56.2793436
"Valadez, J. J., & Ferguson, C. J. (2012)."	15 min NV1/15 min NV2/15 min V/45 min NV1/45 min NV2/45 min V	Blank	hostile feelings	Blank	0.187114462	0.181	0.184960878	0.068339685	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "	11/12/13/14/15/16	"Valadez,_J. (2012)."	214.1184319
"Krcmar, M. & Lachlan, K. (2009)."	10 minuten/15 minuten/20 minuten/30 minuten	AS vs Neutral/Control	arousal	Blank	0.729183165	0.047960406	0.622565364	0.058639518	arousal	Blank	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."	82/85/88/91	"Krcmar, _K. (2009)."	290.8166135
"Greitemeyer, T. (in press). JESP"	Blank	AS vs Neutral/Control	chili	Blank	0.359136095	0.128	0.375893717	0.147	behavior	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T. (in press). Intense acts of violence during video game play make daily life aggression appear innocuous: A new mechanism why violent video games increase aggression. Journal of Experimental Social Psychology"	144	Greiteme_ess). JESP	49.27701421
"Greitemeyer, T., & McLatchie, N. (2011). S1"	ingroup/outgroup	AS vs Neutral/Control	Dehumanization	Blank	0.257115292	0.158	0.251595395	0.105116431	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "	140/141	Greiteme_(2011). S1	90.50212751
"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	female/male	Blank	low empathetic concern	Blank	0.121491514	0.0418	0.120897276	0.035584544	affect	antisocial/negative	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "	183/187	"Fraser, _A. (2012)."	789.7273568
"Adachi, P. J. C., & Willoughby, T. (2011). S1"	Blank	AS vs Neutral/Control	hot chili sauce	Blank	0	0.16	0	0.16	behavior	antisocial/negative	experimental	antisocial	3	"Adachi, P. J. C., & Willoughby, T. (2011). The effect of video game competition and violence on aggressive behavior: Which characteristic has the greatest influence? Psychology of Violence, 1(4), 259-274. doi: 10.1037/a0024908"	268	"Adachi, _(2011). S1"	42.0625
"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S1"	Blank	AS vs Neutral/Control	tolerance for punishment	Blank	0.434818236	0.15433031	0.465823035	0.190312012	behavior	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"	195	"Fischer,_(2012). S1"	30.61007578
"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S2"	Blank	AS vs Neutral/Control	stealing	Blank	0.388219378	0.169857143	0.409701713	0.2	behavior	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"	193	"Fischer,_(2012). S2"	28
"Greitemeyer, T., & Osswald, S. (2010). S1"	Blank	AS vs Neutral/Control	picking up pencils	Blank	0.0721	0.199	0.0723	0.2	behavior	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T., & Osswald, S. (2010). Effects of prosocial video games on prosocial behavior. Journal Of Personality And Social Psychology, 98(2), 211-221.                                                                                                                                                                                                                                                                                                                                                                                                                                                            "	137	Greiteme_(2010). S1	28
"Bushman, B. J., & Gibson, B. (2011)."	No Rumination/Rumination/Women	AS vs Neutral/Control	aggressive	Blank	0.018827451	0.15	0.018825227	0.081736749	affect	antisocial/negative	experimental	antisocial	2	"Bushman, B. J., & Gibson, B. (2011). Violent video games cause an increase in aggression long after the game has been turned off. Social Psychological And Personality Science, 2(1), 29-32.                                                                                                                                                                                                                                                                                                                                                                                                                            "	241/242/243	"Bushman,_B. (2011)."	149.6805197
"Greitemeyer, T., Traut-Mattausch, E., & Osswald, S. (2012)."	Blank	AS vs Neutral/Control	cooperative behavior	Blank	0.405845693	0.2	0.430627628	0.239	behavior	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T., Traut-Mattausch, E., & Osswald, S. (2012). How to ameliorate negative effects of violent video games on cooperation: Play it cooperatively in a team. Computers in Human Behavior, 28(4), 1465-1470. doi: http://dx.doi.org/10.1016/j.chb.2012.03.009"	132	Greiteme_S. (2012).	20.50669631
"Adachi, P. J. C., & Willoughby, T. (2011). S2"	high competition/low competition	AS vs Neutral/Control	heart rate	Blank	-0.110555291	0.169	-0.110107063	0.12242117	arousal	Blank	experimental	antisocial	3	"Adachi, P. J. C., & Willoughby, T. (2011). The effect of video game competition and violence on aggressive behavior: Which characteristic has the greatest influence? Psychology of Violence, 1(4), 259-274. doi: 10.1037/a0024908"	266/267	"Adachi, _(2011). S2"	66.72474876
"Gunter, W. D., & Daly, K. (2012)."	Females/Males	AS vs Neutral/Control	non-violent deviant behavior/violent deviant behavior	Blank	0.20792489	0.019	0.204979427	0.014191077	behavior	antisocial/negative	correlational	antisocial	3	"Gunter, W. D., & Daly, K. (2012). Causal or spurious: Using propensity score matching to detangle the relationship between violent video games and violent behavior. Computers in Human Behavior, 28(4), 1348-1355. doi: http://dx.doi.org/10.1016/j.chb.2012.02.020"	128/129/130/131	"Gunter, _K. (2012)."	4965.571822
